Date,Close/Last,Volume,Open,High,Low
"45,712.00",247.10,"51,326,400.00",244.93,248.86,244.42
"45,709.00",245.55,"53,197,430.00",245.95,248.69,245.22
"45,708.00",245.83,"32,316,910.00",244.94,246.78,244.29
"45,707.00",244.87,"32,204,220.00",244.66,246.01,243.16
"45,706.00",244.47,"48,822,490.00",244.15,245.18,241.84
"45,702.00",244.60,"40,896,230.00",241.25,245.55,240.99
"45,701.00",241.53,"53,614,050.00",236.91,242.34,235.57
"45,700.00",236.87,"45,243,290.00",231.20,236.96,230.68
"45,699.00",232.62,"53,718,360.00",228.20,235.23,228.13
"45,698.00",227.65,"33,115,650.00",229.57,230.59,227.20
"45,695.00",227.63,"39,707,220.00",232.60,234.00,227.26
"45,694.00",233.22,"29,925,350.00",231.29,233.80,230.43
"45,693.00",232.47,"39,664,990.00",228.53,232.67,228.27
"45,692.00",232.80,"45,067,300.00",227.25,233.13,226.65
"45,691.00",228.01,"73,063,300.00",229.99,231.83,225.70
"45,688.00",236.00,"101,075,100.00",247.19,247.19,233.44
"45,687.00",237.59,"55,658,280.00",238.67,240.79,237.21
"45,686.00",239.36,"45,486,100.00",234.12,239.86,234.01
"45,685.00",238.26,"75,707,570.00",230.85,240.19,230.81
"45,684.00",229.86,"94,863,420.00",224.02,232.15,223.98
"45,681.00",222.78,"54,697,910.00",224.78,225.63,221.41
"45,680.00",223.66,"60,234,760.00",224.74,227.03,222.30
"45,679.00",223.83,"64,126,500.00",219.79,224.12,219.79
"45,678.00",222.64,"98,070,430.00",224.00,224.42,219.38
"45,674.00",229.98,"68,488,300.00",232.12,232.29,228.48
"45,673.00",228.26,"71,759,050.00",237.35,238.01,228.03
"45,672.00",237.87,"39,831,970.00",234.64,238.96,234.43
"45,671.00",233.28,"39,435,290.00",234.75,236.12,232.47
"45,670.00",234.40,"49,630,730.00",233.53,234.67,229.72
"45,667.00",236.85,"61,710,860.00",240.01,240.16,233.00
"45,665.00",242.70,"37,628,940.00",241.92,243.71,240.05
"45,664.00",242.21,"40,855,960.00",242.98,245.55,241.35
"45,663.00",245.00,"45,045,570.00",244.31,247.33,243.20
"45,660.00",243.36,"40,244,110.00",243.36,244.18,241.89
